"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf Sheep Predation.nlogox"
"wolfsheep_final"
"05/25/2026 21:02:23:659 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","initial-number-sheep","[step]","ticks"
"3","60","226","226"
"12","40","300","300"
"2","40","342","342"
"7","140","466","466"
"13","60","318","318"
"10","200","543","543"
"6","120","421","421"
"9","180","444","444"
"4","80","406","406"
"14","80","454","454"
"15","100","391","391"
"16","120","401","401"
"23","60","250","250"
"22","40","319","319"
"24","80","234","234"
"25","100","218","218"
"17","140","334","334"
"5","100","605","605"
"18","160","373","373"
"11","20","469","469"
"20","200","349","349"
"29","180","497","497"
"34","80","233","233"
"33","60","363","363"
"26","120","437","437"
"27","140","349","349"
"28","160","345","345"
"35","100","492","492"
"8","160","694","694"
"37","140","394","394"
"30","200","358","358"
"32","40","400","400"
"44","80","233","233"
"43","60","271","271"
"45","100","231","231"
"31","20","416","416"
"42","40","362","362"
"38","160","335","335"
"39","180","380","380"
"41","20","209","209"
"52","40","331","331"
"46","120","342","342"
"48","160","329","329"
"54","80","267","267"
"47","140","365","365"
"53","60","316","316"
"55","100","233","233"
"49","180","335","335"
"40","200","580","580"
"50","200","323","323"
"51","20","190","190"
"63","60","212","212"
"64","80","221","221"
"36","120","605","605"
"56","120","350","350"
"65","100","230","230"
"59","180","396","396"
"62","40","335","335"
"61","20","197","197"
"57","140","386","386"
"21","20","560","560"
"73","60","278","278"
"72","40","370","370"
"66","120","376","376"
"69","180","330","330"
"67","140","330","330"
"60","200","602","602"
"70","200","336","336"
"77","140","202","202"
"68","160","358","358"
"76","120","514","514"
"74","80","425","425"
"83","60","263","263"
"84","80","228","228"
"78","160","474","474"
"75","100","440","440"
"79","180","393","393"
"82","40","440","440"
"85","100","403","403"
"89","180","494","494"
"92","40","345","345"
"93","60","287","287"
"94","80","232","232"
"95","100","231","231"
"96","120","240","240"
"87","140","332","332"
"88","160","314","314"
"91","20","199","199"
"80","200","616","616"
"86","120","638","638"
"97","140","338","338"
"98","160","358","358"
"103","60","231","231"
"104","80","261","261"
"105","100","233","233"
"90","200","586","586"
"102","40","364","364"
"100","200","341","341"
"109","180","465","465"
"101","20","401","401"
"107","140","524","524"
"99","180","600","600"
"111","20","372","372"
"113","60","300","300"
"106","120","373","373"
"112","40","378","378"
"108","160","367","367"
"110","200","348","348"
"114","80","380","380"
"115","100","590","590"
"122","40","290","290"
"117","140","438","438"
"124","80","241","241"
"119","180","308","308"
"126","120","454","454"
"120","200","326","326"
"121","20","206","206"
"123","60","574","574"
"128","160","538","538"
"125","100","414","414"
"132","40","285","285"
"118","160","635","635"
"133","60","247","247"
"134","80","214","214"
"130","200","348","348"
"131","20","222","222"
"136","120","407","407"
"135","100","667","667"
"140","200","178","178"
"129","180","590","590"
"142","40","348","348"
"137","140","345","345"
"138","160","337","337"
"143","60","298","298"
